molecule_chembl_id,canonical_smiles,standard_value
CHEMBL4450894,Cc1ccc(/C=C2\SC(=O)N(C(C)C)C2=O)o1,100000.0
CHEMBL4575550,CC(/C=C1\SC(=O)N(C(C)C)C1=O)=C\c1ccccc1,100000.0
CHEMBL4537523,COC(=O)C(C)N1C(=O)S/C(=C\C=C\c2ccco2)C1=O,100000.0
CHEMBL4475687,Cc1ccc(Sc2ccc(/C=C3\SC(=O)N(C(C)C)C3=O)o2)cc1,100000.0
CHEMBL4546028,OCc1ccc(Sc2nc3ccccc3[nH]2)o1,40000.0
CHEMBL4566803,O=C(Nc1ccccc1)c1ccc(Sc2nc3ccccc3[nH]2)o1,3320.0
CHEMBL4454546,CC(C)NC(=O)c1ccc(Sc2nc3ccccc3[nH]2)o1,7900.0
CHEMBL4518596,c1ccc(NCc2ccc(Sc3nc4ccccc4[nH]3)o2)cc1,4660.0
CHEMBL4571287,CC(C)NCc1ccc(Sc2nc3ccccc3[nH]2)o1,57470.0
CHEMBL4445261,c1ccc2[nH]c(Sc3ccc(CN4CCOCC4)o3)nc2c1,32900.0
CHEMBL4461881,CCN1CCN(Cc2ccc(Sc3nc4ccccc4[nH]3)o2)CC1,10230.0
CHEMBL4587371,CN(C)Cc1ccc(Sc2nc3ccccc3[nH]2)o1,59370.0
CHEMBL4581066,COC(=O)CNCc1ccc(Sc2nc3ccccc3[nH]2)o1,75900.0
CHEMBL4591604,CN1C(=O)C(=Cc2ccc(Sc3nc4ccccc4n3C)o2)C(=O)N(C)C1=O,26810.0
CHEMBL4436752,CC(C)N1C(=O)S/C(=C\c2ccc(Sc3nc4ccc(OC(F)(F)F)cc4[nH]3)o2)C1=O,440.0
CHEMBL4587175,CC(C)N1C(=O)S/C(=C\c2ccc(Sc3nc4ccc([N+](=O)[O-])cc4[nH]3)o2)C1=O,360.0
CHEMBL4587215,CC(=O)c1ccc2nc(Sc3ccc(/C=C4\SC(=O)N(C(C)C)C4=O)o3)[nH]c2c1,260.0
CHEMBL4543327,CC(C)N1C(=O)S/C(=C\c2ccc(Sc3nc4ccc(N)cc4[nH]3)o2)C1=O,4560.0
CHEMBL4463878,CC(C)N1C(=O)S/C(=C\c2ccc(Sc3nc4ccc(NC(=O)c5ccccc5)cc4[nH]3)o2)C1=O,400.0
CHEMBL4457623,CC(=O)Nc1ccc2nc(Sc3ccc(/C=C4\SC(=O)N(C(C)C)C4=O)o3)[nH]c2c1,930.0
CHEMBL4574226,COC(=O)c1ccc2nc(Sc3ccc(/C=C4\SC(=O)N(C(C)C)C4=O)o3)[nH]c2c1,1490.0
CHEMBL4573018,CC(C)N1C(=O)S/C(=C\c2ccc(Sc3nc4ccccc4[nH]3)cc2)C1=O,1820.0
CHEMBL4463755,CC(C)N1C(=O)S/C(=C\c2cccc(Oc3nc4ccccc4[nH]3)c2)C1=O,990.0
CHEMBL4435325,O=C1CSC(=O)N1Cc1ccc(Sc2nc3ccccc3[nH]2)o1,29970.0
CHEMBL4439086,CC(C)N1C(=O)S/C(=C\c2cc3ccc(Sc4nc5ccccc5[nH]4)cc3o2)C1=O,540.0
CHEMBL1332168,Cc1ccc(C)n1-c1ccccc1C(=O)O,24200.0
CHEMBL213432,Cc1ccc(C)n1-c1cccc(C(=O)O)c1,74500.0
CHEMBL212827,Cc1ccc(C)n1-c1ccc(C(=O)O)cc1,287000.0
CHEMBL3182184,Cc1ccc(C)n1-c1cc(C(=O)O)ccc1O,34100.0
CHEMBL212723,Cc1ccc(C)n1-c1ccc(C(=O)O)c(O)c1,4290.0
CHEMBL387115,Cc1ccc(C)n1-c1ccc(C(=O)O)c(Cl)c1,81500.0
CHEMBL4581264,Cc1ccc(C)n1-c1ccc(C(=O)O)cc1O,23500.0
CHEMBL1559731,Cc1cc(C(=O)O)ccc1-n1c(C)ccc1C,45800.0
CHEMBL1333409,Cc1ccc(-c2ccccc2)n1-c1ccc(O)c(C(=O)O)c1,61800.0
CHEMBL4549559,CCOC(=O)c1ccc(-n2c(C)ccc2-c2ccccc2)cc1,144000.0
CHEMBL4558024,COC(=O)c1ccccc1-n1c(C)ccc1C,97300.0
CHEMBL438909,O=C(O)c1ccc(-n2cccc2)cc1O,165000.0
CHEMBL505875,COC(=O)c1ccc(-n2c(C)ccc2C)cc1O,1540.0
CHEMBL4584112,CCCOC(=O)c1ccc(-n2c(CCC(=O)O)ccc2-c2ccccc2)cc1O,96000.0
CHEMBL4562176,CCOC(=O)c1ccc(-n2c(CCC(=O)O)ccc2-c2cccs2)cc1O,124000.0
CHEMBL4579136,CCOC(=O)c1ccc(-n2c(CCC(=O)O)ccc2-c2ccc(Br)cc2)cc1O,81600.0
CHEMBL4513253,CCOC(=O)c1ccc(-n2c(CCC(=O)O)ccc2-c2ccc(OC)cc2)cc1O,116000.0
CHEMBL1434012,CCOC(=O)c1ccc(-n2c(CCC(=O)O)ccc2-c2ccccc2)cc1O,139000.0
CHEMBL4570098,Cc1nccn1-c1ccccc1C(=O)O,442000.0
CHEMBL1505106,O=C(O)c1ccccc1-n1c(-c2ccccc2)cc2c1CCCC2=O,252000.0
CHEMBL1307487,O=C(O)c1cc(-n2cccc2)ccc1N1CCOCC1,273000.0
CHEMBL4567906,CCCC(=O)Nc1ccc(N2CCCCCC2)cc1C(=O)O,172000.0
CHEMBL4565568,CCCCC(=O)Nc1ccc(N2CCC(C)CC2)c(C(=O)O)c1,881000.0
CHEMBL4514605,CC(=O)Nc1ccc(N2CCCCCC2)c(C(=O)O)c1,171000.0
CHEMBL4529309,CC(=O)Nc1ccc(N2CCCC(C)C2)c(C(=O)O)c1,191000.0
CHEMBL213849,Cc1ccc(C)n1-c1ccc(Cl)cc1C(=O)O,11500.0
CHEMBL1380619,Cc1ccc(C)n1-c1ccc(Br)cc1C(=O)O,64700.0
CHEMBL4569331,COc1cc(C(=O)O)c(-n2c(C)ccc2C)cc1OC,13500.0
CHEMBL4581225,Cc1ccc(C)n1-c1cc(Cl)ccc1C(=O)O,63700.0
CHEMBL1765360,Cc1ccc(C)n1-c1ccc(O)cc1C(=O)O,27900.0
CHEMBL4589104,CC(=O)Nc1ccc(-n2c(C)ccc2C)c(C(=O)O)c1,1800.0
CHEMBL4546899,Cc1ccc(-c2ccccc2)n1-c1ccccc1C(=O)O,324000.0
CHEMBL4569380,Cc1cc2c(n1-c1cccc(C(=O)O)c1)CC(C)(C)CC2=O,697000.0
CHEMBL4539772,CC1(C)CC(=O)c2cc(CC(=O)O)n(-c3cccc(C(=O)O)c3)c2C1,197000.0
CHEMBL4565050,Cc1ccc(C(=O)O)cc1-n1c(C)cc(CN2CCC(N)(C(=O)O)C2)c1C,194000.0
CHEMBL4590553,Cc1ccc(C(=O)O)cc1-n1c(C)cc(CN2C[C@H](N(C)C)C[C@H]2CO)c1C,115000.0
CHEMBL4517761,Cc1cc(/C=C2\C(=O)NC(=O)N(C)C2=O)c(C)n1-c1cccc(C(=O)O)c1,76800.0
CHEMBL4585126,Cc1cc(C(=O)O)c(C)n1-c1ccc(C(=O)O)cc1,166000.0
CHEMBL1597942,Cc1cc2c(n1-c1ccc(C(=O)O)cc1)CCCCC2,51800.0
CHEMBL4519431,Cc1c(-c2ccccc2)c2c(n1-c1ccc(C(=O)O)cc1)CCCC2,42000.0
CHEMBL4578207,Cc1cc2c(n1-c1ccc(C(=O)O)cc1)CC(C)(C)CC2=O,446000.0
CHEMBL4524605,CC1(C)CC(=O)c2cc(CC(=O)O)n(-c3ccc(C(=O)O)cc3)c2C1,523000.0
CHEMBL4543283,Cc1cc(/C=C(\C#N)C(=O)Nc2ccc(O)cc2)c(C)n1-c1ccccc1C(=O)O,36200.0
CHEMBL4586035,Cc1ccccc1N1C(=O)NC(=O)/C(=C\c2cc(C)n(-c3ccccc3C(=O)O)c2C)C1=O,2510000.0
CHEMBL4534226,Cc1cc(/C=N/NC(N)=S)c(C)n1-c1ccccc1C(=O)O,16300.0
